iter	RMSE
0	0.5956686157
1	0.5442560039
2	0.5093563245
3	0.4878760627
4	0.4724937232
5	0.4607146225
6	0.452640208
7	0.446105162
8	0.4416959791
9	0.4390567167
10	0.4367199332
11	0.4347033162
12	0.4329671194
13	0.4317598924
14	0.4305261361
15	0.4293350426
16	0.4285780458
17	0.4276403396
18	0.4270620573
19	0.4259732039
20	0.4253270255
21	0.4245371952
22	0.4241247161
23	0.4234848108
24	0.422780824
25	0.4222732789
26	0.4215197072
27	0.4211844162
28	0.4204389324
29	0.4198914412
30	0.4194952552
31	0.4191645012
32	0.4189624216
33	0.4185449186
34	0.4181336462
35	0.4179585738
36	0.417573747
37	0.417344933
38	0.4170488956
39	0.4166950321
40	0.4163863097
41	0.4159127759
42	0.4155102737
43	0.4151315148
44	0.4147312185
45	0.4144155252
46	0.4142816079
47	0.4138194484
48	0.4133740846
49	0.4132989622
50	0.4129687634
51	0.4124089418
52	0.4120905853
53	0.4117377873
54	0.411304251
55	0.4108658977
56	0.4106618196
57	0.4103491731
58	0.4101906057
59	0.4098877718
60	0.4095477322
61	0.4094231578
62	0.4090573083
63	0.4088120588
64	0.4086654743
65	0.4083992303
66	0.4082836237
67	0.4079843964
68	0.4078036423
69	0.4074567221
70	0.4071597776
71	0.4069361683
72	0.4066799509
73	0.4061195931
74	0.405814256
75	0.405644159
76	0.4054613968
77	0.4052712334
78	0.4049999182
79	0.4048079597
80	0.4045583197
81	0.4042860453
82	0.4039482821
83	0.4038974583
84	0.4035864088
85	0.4034153244
86	0.4031684849
87	0.4028983842
88	0.4026225675
89	0.40245278
90	0.402304995
91	0.4020469302
92	0.4017346569
93	0.4015883427
94	0.401398618
95	0.4011583655
96	0.4009133444
97	0.4007242438
98	0.4003925831
99	0.400073009
100	0.3999019199
101	0.399473034
102	0.3993655632
103	0.3991359134
104	0.3989783212
105	0.3988042658
106	0.3986191747
107	0.3983317485
108	0.3981922432
109	0.3979998688
110	0.39783637
111	0.3976158054
112	0.3975088222
113	0.3974345543
114	0.3972939244
115	0.3971400228
116	0.3969757579
117	0.3968170754
118	0.3966359611
119	0.3964824992
120	0.3963065286
121	0.3961843093
122	0.3959751471
123	0.3958668125
124	0.3956666591
125	0.3954847033
126	0.3953713398
127	0.3951941169
128	0.3949700934
129	0.3948515258
130	0.3947301455
131	0.3945974043
132	0.3945327968
133	0.3943940721
134	0.3942240992
135	0.3940894997
136	0.3939788577
137	0.3938539174
138	0.3936692691
139	0.3935113247
140	0.3932993042
141	0.3930480373
142	0.3928533911
143	0.3928037069
144	0.3926701454
145	0.3924714708
146	0.3923707712
147	0.3922348188
148	0.3920672272
149	0.3918730037
150	0.391686732
151	0.3916285441
152	0.3915188375
153	0.3913434794
154	0.391219095
155	0.3910958943
156	0.3909421437
157	0.390807436
158	0.390742348
159	0.3907238243
160	0.3906200429
161	0.390462626
162	0.3903100071
163	0.3901826327
164	0.3899926009
165	0.3898142297
166	0.3897462518
167	0.3896019981
168	0.3893997969
169	0.3893279457
170	0.389172049
171	0.3890531556
172	0.3889977561
173	0.3889245881
174	0.3887727348
175	0.3886998486
176	0.3885700264
177	0.3884625496
178	0.3884023811
179	0.3881674457
180	0.3880117919
181	0.3879293758
182	0.3878259533
183	0.387690845
184	0.3874884899
185	0.3874111747
186	0.3873229273
187	0.3872320565
188	0.3870992618
189	0.3869759157
190	0.3868926569
191	0.3868379249
192	0.3866442576
193	0.3864301776
194	0.3863496628
195	0.3861720229
196	0.386066403
197	0.3859511045
198	0.3858541906
199	0.3857102782
200	0.385595601
201	0.3854515372
202	0.3853360332
203	0.3851093305
204	0.3850140922
205	0.3848540053
206	0.3847588171
207	0.3846501742
208	0.3844014777
209	0.3842881873
210	0.3840817015
211	0.383952016
212	0.3837332662
213	0.3836765639
214	0.3835768818
215	0.3833771306
216	0.3832849915
217	0.3832069652
218	0.3830744745
219	0.382935431
220	0.3827954881
221	0.3827032251
222	0.3826281376
223	0.3824324412
224	0.382385483
225	0.3823284284
226	0.3822460449
227	0.3821368511
228	0.3820544484
229	0.3819349538
230	0.3818967135
231	0.3817689246
232	0.3816010577
233	0.3815140587
234	0.3814084348
235	0.381329983
236	0.3812165037
237	0.3811398262
238	0.3810623257
239	0.3809632747
240	0.3808723561
241	0.3806926591
242	0.3806745105
243	0.3805333982
244	0.380406539
245	0.3802888958
246	0.3802272636
247	0.3801766395
248	0.3800540604
249	0.3800027113
